locale,name
en_US,Main
en_US,Oak
en_US,Pine
en_US,Maple
en_US,Cedar
en_US,Elm
en_US,Washington
en_US,Sunset
en_US,Park
en_US,2nd
en_US,First
en_US,Second
en_US,Third
en_US,Fourth
en_US,Fifth
en_US,Sixth
en_US,Seventh
en_US,Eighth
en_US,Ninth
en_US,Tenth
en_US,High
en_US,Church
en_US,School
en_US,Union
en_US,Center
en_US,Mill
en_US,Ridge
en_US,Hill
en_US,Lake
en_US,River
en_US,Creek
en_US,Spring
en_US,Valley
en_US,Green
en_US,Pleasant
en_US,Grand
en_US,Jefferson
en_US,Jackson
en_US,Franklin
en_US,Adams
en_US,Madison
en_US,Monroe
en_US,Wilson
en_US,Lincoln
en_US,Roosevelt
en_US,Kennedy
en_US,Highland
en_US,Fairview
en_US,Walnut
en_US,Chestnut
en_US,Birch
en_US,Ash
en_US,Spruce
en_US,Cherry
en_US,Willow
en_US,Laurel
en_US,Magnolia
en_US,Dogwood
en_US,Hickory
en_US,Locust
en_US,Sycamore
en_US,Beech
en_US,Alder
en_US,Poplar
en_US,Cottonwood
en_US,Prospect
en_US,Summit
en_US,Forest
en_US,Meadow
en_US,Orchard
en_US,Vine
en_US,Bridge
en_US,Station
en_US,Market
en_US,Broadway
en_US,Liberty
en_US,Heritage
en_US,Academy
en_US,College
en_US,University
en_US,Central
en_US,North
en_US,South
en_US,East
en_US,West
en_US,1st
en_US,3rd
en_US,4th
en_US,5th
en_US,6th
en_US,7th
en_US,8th
en_US,9th
en_US,10th
en_US,11th
en_US,12th
de_DE,Haupt
de_DE,Bahnhof
de_DE,Garten
de_DE,Ring
de_DE,Schiller
de_DE,Bahnhofstraße
de_DE,Linden
de_DE,Berliner
de_DE,Hafen
de_DE,Kirch
de_DE,Goethestraße
de_DE,Schlossstraße
de_DE,Marktplatz
de_DE,Rathausstraße
de_DE,Friedrichstraße
de_DE,Kaiserstraße
de_DE,Poststraße
de_DE,Mühlenstraße
de_DE,Allee
de_DE,Platz
de_DE,Wiesenweg
de_DE,Feldweg
de_DE,Waldweg
de_DE,Bergstraße
de_DE,Talstraße
de_DE,Seeweg
de_DE,Flussstraße
de_DE,Brückenweg
de_DE,Neue Straße
de_DE,Alte Straße
de_DE,Lange Straße
de_DE,Kurze Straße
de_DE,Hochstraße
de_DE,Tiefstraße
de_DE,Breite Straße
de_DE,Schmale Straße
de_DE,Sonnenallee
de_DE,Marienstraße
de_DE,Luisenstraße
de_DE,Wilhelmstraße
de_DE,Alexanderstraße
de_DE,Lessingstraße
de_DE,Heinestraße
de_DE,Mozartstraße
de_DE,Beethovenstraße
de_DE,Bachstraße
de_DE,Schubertstraße
de_DE,Haydnweg
de_DE,Brahmsstraße
de_DE,Wagnerstraße
de_DE,Grüne Straße
de_DE,Rote Straße
de_DE,Weiße Straße
de_DE,Blauer Weg
de_DE,Gelbe Straße
de_DE,Dorfstraße
de_DE,Am Park
de_DE,Am See
de_DE,Am Wald
de_DE,Am Berg
de_DE,Im Tal
de_DE,An der Mühle
de_DE,An der Brücke
de_DE,An der Kirche
de_DE,An der Schule
de_DE,An der Bahn
de_DE,Hamburger Straße
de_DE,Kölner Straße
de_DE,Münchner Allee
de_DE,Frankfurter Straße
de_DE,Stuttgarter Weg
de_DE,Düsseldorfer Straße
de_DE,Bonner Straße
de_DE,Hannoversche Straße
de_DE,Dresdner Weg
de_DE,Leipziger Straße
de_DE,Bremer Straße
de_DE,Nürnberger Allee
de_DE,Eichenweg
de_DE,Buchenallee
de_DE,Kastanienstraße
de_DE,Ahornstraße
de_DE,Fichtenweg
de_DE,Tannenstraße
de_DE,Birkenweg
de_DE,Erlenstraße
de_DE,Eschenweg
de_DE,Pappelallee
de_DE,Weidenstraße
de_DE,Rosenweg
de_DE,Lilienstraße
de_DE,Tulpenweg